method,contacted,churners_reached,precision,at_risk_eur,pct_of_ceiling,vs_random
random within rule,3000,1239,0.413,9154.081525671407,43.33452463186822,0.0
CLV-ranked,3000,1585,0.5283333333333333,15151.54169566067,71.72591318747605,0.6551678781940253
fewest active days,3000,1487,0.49566666666666664,10809.936794959372,51.17318116475344,0.18088710097723504
most days since last play,3000,1385,0.46166666666666667,9787.43065297188,46.33273731771837,0.06918762144780222
model: account only,3000,1914,0.638,16452.2978923654,77.88356551863355,0.7972636409482605
model: account + behaviour,3000,2004,0.668,16896.962951789283,79.98856632253693,0.845839247160296
